days, average_temperature,average_rain
1,24.87007673,1.936828645
2,24.58721228,1.709462916
3,24.6112532,1.579539642
4,24.85933504,2.531202046
5,24.83580563,1.757800512
6,24.97902813,1.329667519
7,24.78797954,1.342199488
8,24.84782609,2.116112532
9,24.87851662,1.283120205
10,24.67647059,2.006905371
11,24.80460358,2.089258312
12,24.71713555,2.088746803
13,24.76470588,2.106905371
14,24.94757033,1.26112532
15,24.87570332,2.01713555
16,24.96649616,1.330179028
17,24.59974425,1.581585678
18,24.9258312,2.076214834
19,24.80051151,1.414066496
20,24.72327366,2.424040921
21,24.55396419,2.702046036
22,24.67647059,1.605626598
23,24.7943734,1.72915601
24,24.74322251,1.436317136
25,24.80869565,1.38056266
26,24.91897436,1.774615385
27,24.67564103,1.292051282
28,24.84128205,1.615641026
29,25.10986301,1.053150685
30,25.11708683,2.449579832
31,24.3092511,2.018061674
